SID,START,END,ELAPSED,CLASS
13330,08/16/2023 12:09:05,08/16/2023 13:30:08,4863,70955 - MATH 110A-70955
390346,08/16/2023 13:58:15,08/16/2023 16:46:35,10100,71043 - MATH 90-71043
206594,08/16/2023 14:43:09,08/16/2023 18:43:09,14400,70957 - MATH 110A-70957
391247,08/17/2023 10:54:53,08/17/2023 11:01:36,403,70954 - MATH 110A-70954
326012,08/17/2023 11:16:31,08/17/2023 12:02:38,2767,71770 - MATH 80-71770
340650,08/17/2023 11:25:51,08/17/2023 12:05:54,2403,70953 - MATH 110A-70953
390730,08/17/2023 12:27:48,08/17/2023 16:27:48,14400,71057 - MATH 98-71057
366007,08/17/2023 15:09:42,08/17/2023 15:52:22,2560,70955 - MATH 110A-70955
13330,08/17/2023 16:23:01,08/17/2023 20:23:01,14400,70955 - MATH 110A-70955
371407,08/18/2023 11:04:38,08/18/2023 11:56:07,3089,71024 - MATH 80-71024
345640,08/18/2023 11:19:00,08/18/2023 11:56:17,2237,71024 - MATH 80-71024
326012,08/21/2023 8:59:00,08/21/2023 9:37:59,2339,71770 - MATH 80-71770
371407,08/21/2023 9:41:00,08/21/2023 10:06:19,1519,71024 - MATH 80-71024
397676,08/21/2023 9:54:02,08/21/2023 13:54:02,14400,71033 - MATH 90-71033
390346,08/21/2023 10:20:16,08/21/2023 10:48:52,1716,71043 - MATH 90-71043
326866,08/21/2023 10:47:50,08/21/2023 14:47:50,14400,71046 - MATH 90-71046
371407,08/21/2023 11:00:14,08/21/2023 11:54:51,3277,71024 - MATH 80-71024
397671,08/21/2023 11:22:16,08/21/2023 14:34:38,11542,71024 - MATH 80-71024
37339,08/21/2023 13:20:41,08/21/2023 14:59:00,5899,71033 - MATH 90-71033
372190,08/21/2023 13:25:28,08/21/2023 15:00:58,5730,70951 - MATH 110A-70951
370683,08/21/2023 13:42:05,08/21/2023 17:42:05,14400,71044 - MATH 90-71044
390346,08/21/2023 14:02:23,08/21/2023 16:58:32,10569,71043 - MATH 90-71043
397671,08/21/2023 14:35:18,08/21/2023 16:28:29,6791,71024 - MATH 80-71024
395626,08/21/2023 14:38:55,08/21/2023 16:35:24,6989,70995 - MATH 70-70995
354266,08/21/2023 15:01:30,08/21/2023 15:23:16,1306,70953 - MATH 110A-70953
380235,08/22/2023 10:08:42,08/22/2023 14:08:42,14400,72480 - MATH 90-72480
370997,08/22/2023 10:12:42,08/22/2023 10:25:23,761,72482 - MATH 90S-72482
10056,08/22/2023 10:27:41,08/22/2023 11:57:41,5400,71043 - MATH 90-71043
326866,08/22/2023 11:03:21,08/22/2023 15:03:21,14400,71046 - MATH 90-71046
367877,08/22/2023 11:15:31,08/22/2023 15:15:31,14400,70952 - MATH 110A-70952
398945,08/22/2023 11:16:58,08/22/2023 15:16:58,14400,71050 - MATH 90S-71050
389695,08/22/2023 11:17:19,08/22/2023 15:17:19,14400,71046 - MATH 90-71046
398279,08/22/2023 11:18:04,08/22/2023 15:18:04,14400,71046 - MATH 90-71046
370683,08/22/2023 12:13:39,08/22/2023 16:13:39,14400,71044 - MATH 90-71044
396601,08/22/2023 12:34:45,08/22/2023 13:29:52,3307,73049 - MATH 90-73049
396590,08/22/2023 12:35:10,08/22/2023 13:29:33,3263,73049 - MATH 90-73049
368197,08/22/2023 13:17:01,08/22/2023 13:49:40,1959,71044 - MATH 90-71044
391787,08/22/2023 13:59:27,08/22/2023 14:36:54,2247,70999 - MATH 75-70999
30511,08/22/2023 14:02:46,08/22/2023 18:02:46,14400,72484 - MATH 95-72484
390879,08/22/2023 14:59:14,08/22/2023 15:43:18,2644,71039 - MATH 90-71039
388981,08/22/2023 15:26:38,08/22/2023 19:26:38,14400,71033 - MATH 90-71033
366007,08/22/2023 16:09:18,08/22/2023 20:09:18,14400,70955 - MATH 110A-70955
371407,08/23/2023 9:58:07,08/23/2023 10:05:38,451,71024 - MATH 80-71024
390346,08/23/2023 10:04:33,08/23/2023 10:55:03,3030,71043 - MATH 90-71043
374013,08/23/2023 10:16:13,08/23/2023 10:54:26,2293,70951 - MATH 110A-70951
21884,08/23/2023 10:41:59,08/23/2023 13:35:03,10384,71918 - MATH 90S-71918
327349,08/23/2023 10:50:20,08/23/2023 11:11:10,1250,70951 - MATH 110A-70951
396151,08/23/2023 10:59:10,08/23/2023 11:37:55,2325,73049 - MATH 90-73049
371407,08/23/2023 11:06:20,08/23/2023 11:37:24,1864,71024 - MATH 80-71024
370854,08/23/2023 11:14:07,08/23/2023 15:14:07,14400,70964 - MATH 110B-70964
382037,08/23/2023 11:14:29,08/23/2023 13:13:30,7141,70952 - MATH 110A-70952
389983,08/23/2023 11:29:32,08/23/2023 15:29:32,14400,71033 - MATH 90-71033
